datetime,Salmo_Salar_Downstream,P65days_count,FH1,FH2,FH3,FH4,FH5,FH6,FH7,FH8,FH9,FH10,FH11,FH12,FH13,FH14,FH15,FH16,FH17,FH18,FH19,FH20,FH21,FH22,FH23,FH24,FH25,FH26,FH27,FH28,FH29,FH30,FH31,FH32,FH33,FH34
12/29/2020,0,0,0,0,0,0.008064516,0,0.004032258,0.004032258,0,0.024193548,0.032258065,0.012096774,0.012096774,0.028225806,0.040322581,0.012096774,0.028225806,0.048387097,0.044354839,0.032258065,0.048387097,0.032258065,0.048387097,0.028225806,0.02016129,0.040322581,0.024193548,0.048387097,0.028225806,0.028225806,0.044354839,0.052419355,0.036290323,0.056451613,0.040322581
12/30/2020,1,1,0,0,0,0,0.004032258,0,0.008064516,0.008064516,0.008064516,0.024193548,0.028225806,0.008064516,0.008064516,0.028225806,0.012096774,0.02016129,0.024193548,0.036290323,0.032258065,0.032258065,0.052419355,0.036290323,0.040322581,0.032258065,0.028225806,0.056451613,0.02016129,0.044354839,0.028225806,0.036290323,0.040322581,0.060483871,0.032258065,0.072580645
12/31/2020,0,0,0,0,0.004032258,0,0,0.008064516,0.008064516,0.008064516,0.012096774,0.012096774,0.012096774,0.028225806,0.008064516,0.004032258,0.028225806,0.024193548,0.028225806,0.028225806,0.032258065,0.024193548,0.040322581,0.040322581,0.02016129,0.028225806,0.032258065,0.024193548,0.040322581,0.024193548,0.036290323,0.028225806,0.040322581,0.036290323,0.064516129,0.040322581
1/1/2021,0,0,0,0,0,0.004032258,0,0,0.004032258,0.008064516,0.004032258,0.012096774,0.008064516,0.016129032,0.02016129,0.004032258,0.008064516,0.024193548,0.032258065,0.024193548,0.032258065,0.024193548,0.032258065,0.040322581,0.036290323,0.02016129,0.024193548,0.040322581,0.024193548,0.028225806,0.02016129,0.040322581,0.024193548,0.036290323,0.028225806,0.040322581
1/2/2021,0,0,0,0,0,0,0,0,0,0.004032258,0.008064516,0.004032258,0.004032258,0.016129032,0.032258065,0.016129032,0.004032258,0.012096774,0.036290323,0.024193548,0.02016129,0.024193548,0.028225806,0.032258065,0.024193548,0.028225806,0.02016129,0.016129032,0.036290323,0.02016129,0.028225806,0.016129032,0.032258065,0.016129032,0.028225806,0.036290323
1/3/2021,0,0,0,0,0,0,0,0,0,0,0.004032258,0.008064516,0.008064516,0.008064516,0.012096774,0.024193548,0.032258065,0.004032258,0.016129032,0.028225806,0.016129032,0.016129032,0.028225806,0.036290323,0.036290323,0.032258065,0.040322581,0.02016129,0.024193548,0.032258065,0.016129032,0.032258065,0.02016129,0.028225806,0.016129032,0.024193548
1/4/2021,0,0,0,0,0,0,0,0.004032258,0,0,0,0,0.004032258,0.012096774,0.012096774,0.016129032,0.016129032,0.024193548,0.008064516,0.012096774,0.032258065,0.016129032,0.012096774,0.032258065,0.040322581,0.036290323,0.028225806,0.032258065,0.016129032,0.02016129,0.028225806,0.008064516,0.024193548,0.024193548,0.032258065,0.016129032
1/5/2021,0,0,0,0,0,0.004032258,0,0,0.004032258,0,0,0,0,0.008064516,0.016129032,0.016129032,0.02016129,0.02016129,0.032258065,0.012096774,0.004032258,0.028225806,0.040322581,0.004032258,0.032258065,0.052419355,0.032258065,0.028225806,0.040322581,0.02016129,0.016129032,0.032258065,0.016129032,0.036290323,0.016129032,0.028225806
1/6/2021,0,0,0,0,0,0,0,0,0,0,0.004032258,0,0,0,0.008064516,0.02016129,0.02016129,0.024193548,0.012096774,0.040322581,0.008064516,0.016129032,0.012096774,0.024193548,0.004032258,0.028225806,0.048387097,0.032258065,0.028225806,0.032258065,0.024193548,0.02016129,0.028225806,0.016129032,0.024193548,0.02016129
1/7/2021,0,0,0,0,0,0,0,0,0,0.004032258,0,0,0,0,0,0.008064516,0.016129032,0.008064516,0.02016129,0.012096774,0.028225806,0.008064516,0.016129032,0.016129032,0.028225806,0.004032258,0.02016129,0.048387097,0.024193548,0.032258065,0.036290323,0.024193548,0.016129032,0.02016129,0.016129032,0.016129032
1/8/2021,0,0,0,0,0,0,0,0,0.004032258,0,0.008064516,0,0,0,0,0,0.008064516,0.016129032,0.008064516,0.028225806,0.016129032,0.032258065,0.012096774,0.008064516,0.028225806,0.024193548,0.004032258,0.016129032,0.032258065,0.028225806,0.024193548,0.036290323,0.032258065,0.016129032,0.016129032,0.024193548
1/9/2021,0,0,0,0,0,0,0,0,0,0.004032258,0,0.008064516,0,0,0,0,0.004032258,0.008064516,0.012096774,0.004032258,0.032258065,0.012096774,0.012096774,0.004032258,0.008064516,0.032258065,0.012096774,0.008064516,0.012096774,0.036290323,0.032258065,0.02016129,0.032258065,0.028225806,0.008064516,0.024193548
1/10/2021,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0.004032258,0.008064516,0.004032258,0.012096774,0.016129032,0.008064516,0.024193548,0.012096774,0.012096774,0.004032258,0.008064516,0.028225806,0.012096774,0.008064516,0.016129032,0.032258065,0.032258065,0.024193548,0.028225806,0.024193548,0.016129032
1/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0.004032258,0.012096774,0.004032258,0.016129032,0.012096774,0.008064516,0.024193548,0.012096774,0.024193548,0.004032258,0.004032258,0.02016129,0.016129032,0.008064516,0.016129032,0.024193548,0.032258065,0.016129032,0.028225806,0.028225806
1/12/2021,0,0,0,0,0,0,0,0,0,0,0.004032258,0,0,0,0.012096774,0.004032258,0.004032258,0.008064516,0.012096774,0.004032258,0.016129032,0.012096774,0,0.016129032,0.004032258,0.008064516,0.008064516,0.004032258,0.024193548,0.008064516,0.008064516,0.02016129,0.024193548,0.024193548,0.024193548,0.028225806
